FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,fod_gns_10_18,taelle_dato,aar,link,ogc_fid,wkb_geometry
trafiktaelling_fodg.236,9644,Ørestads Bolulevard,,55,100,Øvrige tællinger,1557,1800,1900,,,,,,,1800,126,20140604,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/bLF9mcq6wD.pdf,236,POINT (12.582118527101553 55.6349461047678)
trafiktaelling_fodg.237,9645,Ørestads Bolulevard,,75,100,Øvrige tællinger,2680,3100,3200,,,,,,,3100,225,20140604,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/dHRYVF0sQ7.pdf,237,POINT (12.58086546966524 55.63176516664692)
trafiktaelling_fodg.238,9646,Blegdamsvej,Tunnel ved Frederik d. V's Vej,78A,100,Øvrige tællinger,171,200,200,,,,,,,200,,20220614,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/iDjS2cd8mC.pdf,238,POINT (12.570408848688517 55.695868789487704)
trafiktaelling_fodg.239,9647,Valby Langgade,Gangbro under Valby Langgade ved Vibeholmen,192,100,Øvrige tællinger,136,200,200,,,,,,,200,13,20110818,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/d9farT9MCi.pdf,239,POINT (12.493605776474467 55.669266646044974)
trafiktaelling_fodg.240,9659,Sankt Annæ Plads,FOD,15B,3,Andre faste tællinger,4820,5600,5800,,,,,,,5600,,20170613,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/fou0Oa0qYa.pdf,240,POINT (12.59208496866839 55.68156498338662)
trafiktaelling_fodg.241,9660,Langebro,Fodgængere,,100,Øvrige tællinger,2672,3100,3200,,,,,,,3100,,20230914,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/VrZ4kvCVvM.pdf,241,POINT (12.577934515691211 55.67054436729424)
trafiktaelling_fodg.242,9660,Langebro,Fodgængere,,100,Øvrige tællinger,2672,3100,3200,,,,,,,3100,,20230914,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/2mcYuHdTTo.pdf,242,POINT (12.577934515691211 55.67054436729424)
trafiktaelling_fodg.243,9662,Østre Anlæg,"Fodgængere, kun ind i parken, alle indgange. Beregnet",,100,Øvrige tællinger,4890,5700,5900,,,,,,,5700,,20130625,2013,http://kk.sites.itera.dk/apps/kk_trafik/pdf/MpC5w0OAfL.pdf,243,POINT (12.580969577304932 55.69096415696316)
trafiktaelling_fodg.244,9663,Borgergade,FOD,12,100,Øvrige tællinger,5225,6100,6300,,,,,,,6100,479,20150616,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/Le0VKwtfLn.pdf,244,POINT (12.58442032522379 55.682690278223824)
trafiktaelling_fodg.245,9664,Bredgade,FOD,3,100,Øvrige tællinger,8311,9700,10100,,,,,,,9700,872,20150616,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/ulwQ86LTBT.pdf,245,POINT (12.587646234462959 55.68129707564603)
trafiktaelling_fodg.246,9665,Bremerholm,FOD,6,100,Øvrige tællinger,4689,5500,5700,,,,,,,5500,484,20150616,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/QYXl9wDW08.pdf,246,POINT (12.582811401930691 55.67891746662236)
trafiktaelling_fodg.247,9667,Frederikkssundsvej,FOD,27,100,Øvrige tællinger,7609,8900,9200,,,,,,,8900,,20190627,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/YIcxQ2r4MQ.pdf,247,POINT (12.533746725545678 55.70164226129247)
trafiktaelling_fodg.248,9668,Gammel Mønt,FOD,4,100,Øvrige tællinger,3922,4600,4700,,,,,,,4600,,20150616,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/rCgTJXm3P5.pdf,248,POINT (12.581537091736996 55.681207089613956)
trafiktaelling_fodg.249,9669,H.C. Andersens Boulevard,FOD,13,100,Øvrige tællinger,4156,4900,5000,,,,,,,4900,394,20150623,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/8YnL5hGg6a.pdf,249,POINT (12.566793046012998 55.67724087825045)
trafiktaelling_fodg.250,9670,H.C. Andersens Boulevard,FOD,23,100,Øvrige tællinger,7708,9000,9300,,,,,,,9000,352,20150623,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/hj9Jn96Tom.pdf,250,POINT (12.571235137583411 55.674347699293996)
trafiktaelling_fodg.251,9671,Havnegade,FOD,37,100,Øvrige tællinger,2767,3200,3300,,,,,,,3200,241,20150617,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/wGZXljOxq2.pdf,251,POINT (12.590153816926325 55.67715111263272)
trafiktaelling_fodg.252,9672,Jagtvej,FOD,52A,100,Øvrige tællinger,6552,7700,7900,,,,,,,7700,614,20150624,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/n9MU5xOxOg.pdf,252,POINT (12.549511875968749 55.694717092123206)
trafiktaelling_fodg.253,9673,Jagtvej,FOD,69,100,Øvrige tællinger,3338,3900,4000,,,,,,,3900,320,20150624,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/i4mUZ7cP7f.pdf,253,POINT (12.548109744891297 55.69384745771209)
trafiktaelling_fodg.254,9674,Jagtvej,FOD,137,100,Øvrige tællinger,2557,3000,3100,,,,,,,3000,239,20150624,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/EWnoqtRNSO.pdf,254,POINT (12.55316074623104 55.698356103805075)
trafiktaelling_fodg.255,9675,Knippelsbro,FOD,,100,Øvrige tællinger,6334,7400,7700,,,,,,,7400,,20230912,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/s8euUCS7Gh.pdf,255,POINT (12.587368491899465 55.67480580722062)
trafiktaelling_fodg.256,9676,Kristen Bernikows Gade,FOD,2,100,Øvrige tællinger,5828,6800,7100,,,,,,,6800,,20230921,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/iZhKM1MuJ9.pdf,256,POINT (12.582313413901957 55.68010467096808)
trafiktaelling_fodg.257,9677,Lygten,FOD,2C,100,Øvrige tællinger,6423,7500,7800,,,,,,,7500,,20150818,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/S7K7eY0COF.pdf,257,POINT (12.537646378691756 55.70216388684818)
trafiktaelling_fodg.258,9678,Nordre Fasanvej,FOD,252,100,Øvrige tællinger,4603,5400,5600,,,,,,,5400,405,20150820,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/niYnwtfdF9.pdf,258,POINT (12.537322655909696 55.7007990138112)
trafiktaelling_fodg.259,9679,Nørre Farigmagsgade,FOD,68,100,Øvrige tællinger,2604,3000,3200,,,,,,,3000,247,20150617,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/CmXmiTc6oo.pdf,259,POINT (12.567929422743422 55.68450684631101)
trafiktaelling_fodg.260,9680,Rantzausgade,FOD,40,100,Øvrige tællinger,2536,3000,3100,,,,,,,3000,234,20150624,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/ZbH3aOAVSm.pdf,260,POINT (12.548461436356739 55.68701374528754)
trafiktaelling_fodg.261,9681,Store Kongensgade,FOD,24,100,Øvrige tællinger,8222,9600,9900,,,,,,,9600,801,20150616,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/sTTNEWn48V.pdf,261,POINT (12.585977884642796 55.68213296628837)
trafiktaelling_fodg.262,9682,Tagensvej,FOD,14,100,Øvrige tællinger,1563,1800,1900,,,,,,,1800,139,20150624,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/HjtgYj0zjQ.pdf,262,POINT (12.559679302435784 55.69710016483181)
trafiktaelling_fodg.263,9683,Tagensvej,FOD,99,100,Øvrige tællinger,3401,4000,4100,,,,,,,4000,312,20150819,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/4gri02uaNn.pdf,263,POINT (12.547361018124844 55.70339140235199)
trafiktaelling_fodg.264,9684,Torvegade,FOD,29,100,Øvrige tællinger,8092,9500,9800,,,,,,,9500,,20190626,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/RYaaIeLItI.pdf,264,POINT (12.590360661444832 55.67307592365564)
trafiktaelling_fodg.265,9686,Vester Farimagsgade,FOD,7,100,Øvrige tællinger,6154,7200,7400,,,,,,,7200,549,20150623,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/yCl5umWWy8.pdf,265,POINT (12.561799262757985 55.67556872860412)
trafiktaelling_fodg.266,9687,Vester Voldgade,FOD,87,100,Øvrige tællinger,4869,5700,5900,,,,,,,5700,480,20150623,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/Hu5OzYxN0Y.pdf,266,POINT (12.57244941412391 55.67489117711892)
trafiktaelling_fodg.267,9689,Øster Farimagsgade,FOD,2A,100,Øvrige tællinger,2961,3500,3600,,,,,,,3500,,20150617,2015,https://kk.sites.itera.dk/apps/kk_trafik/pdf/DxF9g8FCqd.pdf,267,POINT (12.57004466489422 55.68620644187323)
trafiktaelling_fodg.268,9690,Øster Farimagsgade,FOD,18,100,Øvrige tællinger,3028,3500,3700,,,,,,,3500,255,20150624,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/hE4do4QFho.pdf,268,POINT (12.575709064679872 55.69071260853809)
trafiktaelling_fodg.269,9691,Åboulevard,FOD,16,100,Øvrige tællinger,1538,1800,1900,,,,,,,1800,,20150624,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/sbDt0vwMQN.pdf,269,POINT (12.555934264288389 55.6836358819884)
trafiktaelling_fodg.270,9696,Damhusengen,"Fodgængere, kun ind i parken, alle indgange. Beregnet",,100,Øvrige tællinger,5864,6900,7100,,,,,,,6900,,20130618,2013,http://kk.sites.itera.dk/apps/kk_trafik/pdf/YK3yMyJGOq.pdf,270,POINT (12.469467359365462 55.68579635370596)
trafiktaelling_fodg.271,9698,Enghaveparken,FOD,,100,Øvrige tællinger,1746,2000,2100,,,,,,,2000,,20130625,2013,http://kk.sites.itera.dk/apps/kk_trafik/pdf/v03jlP5KR5.pdf,271,POINT (12.543238155024051 55.666870445654624)
trafiktaelling_fodg.272,9703,Stranden ved Svanemøllebugten/Strandparken,OPHOLD,36,100,Øvrige tællinger,,,,,,,,,,,,20110804,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/NyLGqVvkHv.pdf,272,POINT (12.583662808767517 55.72009422647469)
trafiktaelling_fodg.273,9703,Stranden ved Svanemøllebugten/Strandparken,OPHOLD,36,100,Øvrige tællinger,,,,,,,,,,,,20110804,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/H5CIuqrWKs.pdf,273,POINT (12.583662808767517 55.72009422647469)
trafiktaelling_fodg.274,9703,Stranden ved Svanemøllebugten/Strandparken,OPHOLD,36,100,Øvrige tællinger,2200,2600,2700,,,,,,,2600,200,20110804,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/2ajTFpAY36.pdf,274,POINT (12.583662808767517 55.72009422647469)
trafiktaelling_fodg.275,9711,Nordre Frihavnsgade,FOD,52,100,Øvrige tællinger,3898,4600,4700,,,,,,,4600,,20220616,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/Chd1O99G4o.pdf,275,POINT (12.582803763536862 55.70219017828163)
trafiktaelling_fodg.276,9712,Nordre Frihavnsgade,FOD,98,100,Øvrige tællinger,1075,1300,1300,,,,,,,1300,84,20150506,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/RHidLdFgXg.pdf,276,POINT (12.589591521365216 55.703508425657866)
trafiktaelling_fodg.277,9717,Rigsdagsgården,,,100,Øvrige tællinger,6262,7300,7600,,,,,,,7300,,20230926,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/Tc7Axo3hwQ.pdf,277,POINT (12.580745763382257 55.67544500791973)
trafiktaelling_fodg.278,9752,Cirkelbroen,,,100,Øvrige tællinger,2627,3100,3200,,,,,,,3100,,20230914,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/bzrGGQyWjS.pdf,278,POINT (12.583665646695064 55.67239507294161)
trafiktaelling_fodg.279,9829,Hammershøis Kaj (ved Cirkelbroen),FOD,,100,Øvrige tællinger,673,800,800,,,,,,,800,71,20150930,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/Il8maTypQ5.pdf,279,POINT (12.584137365641423 55.67250169187513)
trafiktaelling_fodg.280,9833,Staldgade,FOD,32,100,Øvrige tællinger,501,600,600,,,,,,,600,37,20150909,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/6bnx51xfb1.pdf,280,POINT (12.56284931685846 55.668051738674926)
trafiktaelling_fodg.281,9844,Carl Jacobsens Vej,Ved Kløverbladsgade,14,100,Øvrige tællinger,489,600,600,,,,,,,600,,20150602,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/B93QyZCyjf.pdf,281,POINT (12.51905680909146 55.65324338426862)
trafiktaelling_fodg.282,9845,Carl Jacobsens Vej,Ved Trekronergade,-,100,Øvrige tællinger,183,200,200,,,,,,,200,,20150602,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/1U47G4BNmY.pdf,282,POINT (12.520578421862568 55.653004844512566)
trafiktaelling_fodg.283,9847,Oehlenschlægergade,Mellem Istedgade og Matthæusgade,,100,Øvrige tællinger,1143,1300,1400,,,,,,,1300,,20160525,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/aHYK6jAHRl.pdf,283,POINT (12.549958526669231 55.66881594724649)
trafiktaelling_fodg.284,9848,Saxopgade,Mellem Istedgade og Matthæusgade,62,100,Øvrige tællinger,1786,2100,2200,,,,,,,2100,161,20160525,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/NKmQFkuUQL.pdf,284,POINT (12.551136664233121 55.668866298019786)
trafiktaelling_fodg.285,9849,Valdemarsgade,Mellem Istedgade og Dybbølsgade,57,100,Øvrige tællinger,1689,2000,2000,,,,,,,2000,152,20160525,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/xfc8O0T4Ef.pdf,285,POINT (12.549136536925259 55.66769443937647)
trafiktaelling_fodg.286,9850,Oehlenschlægergade,Mellem Istedgade og Dybbølsgade,,100,Øvrige tællinger,1335,1600,1600,,,,,,,1600,,20160525,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/NbMyOlKtsR.pdf,286,POINT (12.550031639275177 55.667974253427765)
trafiktaelling_fodg.287,9852,Eskildsgade,Mellem Istedgade og Svendsgade,,100,Øvrige tællinger,1741,2000,2100,,,,,,,2000,140,20160525,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/iBvo4JBF7H.pdf,287,POINT (12.555885699793397 55.67037314969037)
trafiktaelling_fodg.288,9853,Viktoriagade,Mellem Istedgade og Abel Cathrines Gade,,100,Øvrige tællinger,1390,1600,1700,,,,,,,1600,122,20160525,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/bJTJmvpyVr.pdf,288,POINT (12.558487438619094 55.671170856523545)
trafiktaelling_fodg.289,9854,Abel Cathrines Gade,Mellem Istedgade og Viktoriagade,,100,Øvrige tællinger,1052,1200,1300,,,,,,,1200,85,20160525,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/ExIS6nG6RF.pdf,289,POINT (12.559557582692777 55.671388842449396)
trafiktaelling_fodg.290,9855,Colbjørnsensgade,Mellem Istedgade og Vesterbrogade,12,100,Øvrige tællinger,2378,2800,2900,,,,,,,2800,211,20160525,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/WFIoaHwmRQ.pdf,290,POINT (12.562003109646456 55.672404768699444)
trafiktaelling_fodg.291,9864,Valdemarsgade,Mellem Matthæusgade og Vesterbrogade,2,100,Øvrige tællinger,1784,2100,2200,,,,,,,2100,176,20160525,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/57uJhQAtco.pdf,291,POINT (12.548352260641838 55.67199222229685)
trafiktaelling_fodg.292,9866,Carlsbergruten,,-,100,Øvrige tællinger,823,1000,1000,,,,,,,1000,,20180920,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/Isgl4zMfCO.pdf,292,POINT (12.530766089495035 55.66381517163847)
trafiktaelling_fodg.293,9871,Inderhavnsbroen,,-,2,Søsnittet,9985,11700,12100,,,,,,,11700,,20240910,2024,https://kk.sites.itera.dk/apps/kk_trafik/pdf/SJRFbhcQgm.pdf,293,POINT (12.594696022878592 55.67849903361741)
trafiktaelling_fodg.294,9873,Trangravsbroen (nord),,-,100,Øvrige tællinger,2021,2400,2400,,,,,,,2400,,20210921,2021,https://kk.sites.itera.dk/apps/kk_trafik/pdf/XZIpZbZDVb.pdf,294,POINT (12.599324106755141 55.67785142559879)
trafiktaelling_fodg.295,9874,Trangravsbroen (sydøst),,-,100,Øvrige tællinger,1967,2300,2400,,,,,,,2300,,20210921,2021,https://kk.sites.itera.dk/apps/kk_trafik/pdf/A5JKIggOHS.pdf,295,POINT (12.59902385515276 55.67754578993268)
trafiktaelling_fodg.296,9876,Mellem Proviantbroen og Trangravsbroen,,-,100,Øvrige tællinger,1967,2300,2400,,,,,,,2300,177,20160908,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/jnf4L85nxU.pdf,296,POINT (12.600194847884707 55.678750847817675)
trafiktaelling_fodg.297,9877,Proviantbroen,,-,100,Øvrige tællinger,1169,1400,1400,,,,,,,1400,,20210921,2021,https://kk.sites.itera.dk/apps/kk_trafik/pdf/bCKSZUg0rx.pdf,297,POINT (12.600753516133711 55.67943678976787)
trafiktaelling_fodg.298,9886,Lønstrupvej,Ved Hirtshalsvej,4,100,Øvrige tællinger,926,1100,1100,,,,,,,1100,63,20160919,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/a56t4FAJkg.pdf,298,POINT (12.479784725070866 55.685676479283174)
trafiktaelling_fodg.299,9887,Lønstrupvej,Ved Ålekistevej,2,100,Øvrige tællinger,585,700,700,,,,,,,700,52,20160919,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/F4RvQhFgkK.pdf,299,POINT (12.481570063393447 55.68601420019395)
trafiktaelling_fodg.300,9924,Kvæsthusgade,FOD,3,100,Øvrige tællinger,1032,1200,1200,,,,,,,1200,91,20161011,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/VYoPfxjgYe.pdf,300,POINT (12.593412023901616 55.67960302478849)
trafiktaelling_fodg.301,9930,Nyhavnsbroen,FOD,,100,Øvrige tællinger,10536,12300,12700,,,,,,,12300,1011,20161011,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/VSPOb19Sn1.pdf,301,POINT (12.591272415702278 55.679583095492134)
trafiktaelling_fodg.302,9930,Nyhavnsbroen,FOD,,100,Øvrige tællinger,10536,12300,12700,,,,,,,12300,,20161011,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/WVJFXu1KON.pdf,302,POINT (12.591272415702278 55.679583095492134)
trafiktaelling_fodg.303,9932,Passagen ved Matthæuskirken,,,100,Øvrige tællinger,999,1200,1200,,,,,,,1200,90,20160614,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/FStE2X0YYc.pdf,303,POINT (12.547561042166649 55.66946478084817)
trafiktaelling_fodg.304,9938,Teglgårdsstræde,,,100,Øvrige tællinger,,,,,,,,,,,,20230608,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/ybKJ2lE9Fj.pdf,304,POINT (12.568376337685738 55.679450040201566)
trafiktaelling_fodg.305,9938,Teglgårdsstræde,,,100,Øvrige tællinger,2271,2700,2700,,,,,,,2700,,20230608,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/SoqyAztHev.pdf,305,POINT (12.568376337685738 55.679450040201566)
trafiktaelling_fodg.306,9939,Toldbodgade,Nord for Sankt Annæ Plads,,100,Øvrige tællinger,3092,3600,3700,,,,,,,3600,,20161012,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/7udsQJQ55j.pdf,306,POINT (12.5929528879865 55.68157029870189)
trafiktaelling_fodg.307,9940,Torvegade,Fodgængerfelt Torvegade ved Christianshavns Voldgade,,100,Øvrige tællinger,1954,2300,2400,,,,,,,2300,,20160525,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/s118Ph9cp8.pdf,307,POINT (12.594242050415273 55.670920817056434)
trafiktaelling_fodg.308,9956,Vendersgade,FOD,5,100,Øvrige tællinger,8984,10500,10900,,,,,,,10500,,20170620,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/hPY5e0wRQJ.pdf,308,POINT (12.570159730305278 55.68304581752047)
trafiktaelling_fodg.309,10029,Dronningensgade,,48,100,Øvrige tællinger,1096,1300,1300,,,,,,,1300,,20170420,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/6vUVYDMyNz.pdf,309,POINT (12.591785374883484 55.671878992856676)
trafiktaelling_fodg.310,10092,Lyshøjgårdsvej,FOD,59,100,Øvrige tællinger,4911,5700,5900,,,,,,,5700,,20170509,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/gPevx825gG.pdf,310,POINT (12.514646027218316 55.663335814038206)
trafiktaelling_fodg.311,10094,Lyshøjgårdsvej,FOD,69,100,Øvrige tællinger,1707,2000,2100,,,,,,,2000,,20170509,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/q6TX6ln1aE.pdf,311,POINT (12.512657847089965 55.66331873357003)
trafiktaelling_fodg.312,10095,Papirøens bro,FOD,-,100,Øvrige tællinger,7234,8500,8800,,,,,,,8500,,20160908,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/kWXKP4nWXb.pdf,312,POINT (12.599104942805758 55.6780381106219)
trafiktaelling_fodg.313,10096,Strandgade,Ved Inderhavnsbroen,108,100,Øvrige tællinger,935,1100,1100,,,,,,,1100,,20170912,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/541FQ90m2u.pdf,313,POINT (12.597804053283731 55.67778618524443)
trafiktaelling_fodg.314,10098,Trangravsvej,Øst for Trangravsbroen,-,100,Øvrige tællinger,1334,1600,1600,,,,,,,1600,,20160908,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/XWkLb7I4rv.pdf,314,POINT (12.5999028049904 55.677731128650585)
trafiktaelling_fodg.315,10102,Sti ved Nøkkerosevej,,,100,Øvrige tællinger,183,200,200,,,,,,,200,,20170523,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/n6rd4jnP5r.pdf,315,POINT (12.539401600166627 55.72371406753276)
trafiktaelling_fodg.316,10103,Tordenskjoldsgade,TRAFIK,13,100,Øvrige tællinger,956,1100,1200,,,,,,,1100,,20170425,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/BYAQohUg6Y.pdf,316,POINT (12.587316703924314 55.67851327411837)
trafiktaelling_fodg.317,10104,Wildersgade,TRAFIK,34,100,Øvrige tællinger,934,1100,1100,,,,,,,1100,,20170426,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/16koVaKRx4.pdf,317,POINT (12.590376838500351 55.673374736172185)
